Name,file,start_date,end_date,avg_return,volatility,skewness,kurtosis,mdd,sharpe,n_obs,regime_id,regime_name
A,A_data.csv,42738,43098,0.3679275823972188,0.169577961567042,0.4415794002706598,5.657754769689938,0.06743164754214481,2.169666264396981,250,2,High-Alpha
AAL,AAL_data.csv,42738,43098,0.1176119423237048,0.2866767668858068,-0.08328668760881465,4.029166729482585,0.2084101807451124,0.4102597625937147,250,1,Stable
AAP,AAP_data.csv,42738,43098,-0.5415543141351472,0.4049327257082536,-2.205680887037288,32.29172400862857,0.5458550260312375,-1.337393299560893,250,0,Downtrend
AAPL,AAPL_data.csv,42738,43098,0.379387287421205,0.18200420756064,0.805504990461016,9.314371189835732,0.08859705317104405,2.08449734490232,250,2,High-Alpha
ABBV,ABBV_data.csv,42738,43098,0.4414952211091808,0.1781486353739291,0.6664906795264401,8.378635297239674,0.07172470978441126,2.478240825041935,250,2,High-Alpha
ABC,ABC_data.csv,42738,43098,0.1065449954486342,0.252787384461244,-1.573238166046324,12.57932384048909,0.2401950612160199,0.4214806671452746,250,1,Stable
ABT,ABT_data.csv,42738,43098,0.3824711939290245,0.138595833966534,0.2372259377454867,3.376581585874563,0.0667104111986001,2.759615372142988,250,2,High-Alpha
ACN,ACN_data.csv,42738,43098,0.2756659422736947,0.1333806995735883,-1.145444295703431,8.361474337452286,0.09187223276407341,2.06676035704555,250,2,High-Alpha
ADBE,ADBE_data.csv,42738,43098,0.5309923304728887,0.21552740813163,1.538178597895927,24.21143826037632,0.09633225458468186,2.463688192030749,250,2,High-Alpha
ADI,ADI_data.csv,42738,43098,0.206960409518408,0.2027924789153824,-0.06582895791995691,5.209416087625444,0.1125233208955224,1.02055268827186,250,2,High-Alpha
ADM,ADM_data.csv,42738,43098,-0.1430209546072306,0.1867117513295121,-2.0205198209924,18.61534364246693,0.1705343836491378,-0.7659986775809562,250,1,Stable
ADP,ADP_data.csv,42738,43098,0.1252187360576071,0.1944070578265324,-0.1993793827192125,18.70060911858942,0.1347237406441847,0.6441059159968286,250,1,Stable
ADS,ADS_data.csv,42738,43098,0.08487718178249451,0.2420549715787573,-0.7293849200721272,12.56307776412533,0.2046339343085005,0.3506525035569371,250,1,Stable
ADSK,ADSK_data.csv,42738,43098,0.3217949576493337,0.3050648097233882,-1.684583093854078,37.71177726102545,0.2030098280098281,1.054841290744466,250,1,Stable
AEE,AEE_data.csv,42738,43098,0.1197938437268995,0.121453370379858,-0.5988047781223031,4.835133315234203,0.09668422683607081,0.9863361004493483,250,2,High-Alpha
AEP,AEP_data.csv,42738,43098,0.160190761327975,0.1095107383121397,-0.09302210832569331,3.313043489633777,0.06192376496490981,1.462785876498993,250,2,High-Alpha
AES,AES_data.csv,42738,43098,-0.07443487286872247,0.2104565432026274,-0.03588798112794905,6.323030081431752,0.1439330543933054,-0.3536828636259441,250,1,Stable
AET,AET_data.csv,42738,43098,0.3873123859721381,0.1924995266514757,2.663797567858422,26.61747399069582,0.07211567918632444,2.012017342117287,250,2,High-Alpha
AFL,AFL_data.csv,42738,43098,0.2314666028394126,0.1128442296135762,-0.2763313106617464,10.15016751529556,0.04846938775510201,2.051204599757089,250,2,High-Alpha
AGN,AGN_data.csv,42738,43098,-0.2810863272264204,0.2114205352890006,-0.121518993744917,5.467906299321172,0.3613898106578176,-1.329512891650711,250,1,Stable
AIG,AIG_data.csv,42738,43098,-0.08962306860442054,0.1682345616305229,-2.941232743243788,27.77217746442334,0.1352678571428572,-0.532726853125762,250,1,Stable
AIV,AIV_data.csv,42738,43098,-0.02797336874501437,0.136065073499218,0.1827173728076096,3.702293854485077,0.08833010960670529,-0.205588164733363,250,1,Stable
AIZ,AIZ_data.csv,42738,43098,0.06951625476824053,0.2036710127235594,0.007535808030520883,11.62069152522269,0.1743671779429754,0.3413163897927597,250,1,Stable
AJG,AJG_data.csv,42738,43098,0.1932546051991509,0.1185423149906028,0.1322017606162202,4.371466471239619,0.06511350059737142,1.630258403629714,250,2,High-Alpha
AKAM,AKAM_data.csv,42738,43098,-0.03846692538312721,0.3441452810395534,-3.200371417668763,34.10800629111998,0.3685320584926886,-0.1117752516231833,250,0,Downtrend
ALB,ALB_data.csv,42738,43098,0.3762518099790352,0.2413764983169819,0.2563061140009067,9.324817972512793,0.1182736201410984,1.558775657955447,250,2,High-Alpha
ALGN,ALGN_data.csv,42738,43098,0.8358682241663101,0.3398509102786763,1.322041697643912,19.02710956644035,0.1720849260114296,2.459514448500084,250,2,High-Alpha
ALK,ALK_data.csv,42738,43098,-0.1813546859969467,0.2813507423885951,-1.953528321200424,17.72797076945733,0.3846767757382282,-0.6445857738184455,250,0,Downtrend
ALL,ALL_data.csv,42738,43098,0.3475935474993102,0.1267826602423364,0.8809610807330692,9.649658136472866,0.08711721224920799,2.74164895132275,250,2,High-Alpha
ALLE,ALLE_data.csv,42738,43098,0.2084042544987464,0.1736415134471282,-0.5225141239210914,11.99853403944415,0.1116569897275569,1.200198330235143,250,2,High-Alpha
ALXN,ALXN_data.csv,42738,43098,-0.02530328551956391,0.3189359419359806,0.1778629813643094,7.854084553992447,0.3251364232921186,-0.07933657575866127,250,1,Stable
AMAT,AMAT_data.csv,42738,43098,0.4740792006206703,0.264919263799848,-0.7396476248301406,5.922924623246884,0.1535714285714285,1.789523320504344,250,2,High-Alpha
AMD,AMD_data.csv,42738,43098,-0.1068895475219394,0.5962168946130316,-1.434858374189477,16.14354795843372,0.3486842105263157,-0.179279635461043,250,0,Downtrend
